postcode,state,year,age,pc_immun,caution,pc_immun_class,PHN_code,PHN_number,IEO_SCORE,IER_SCORE,IRSAD_SCORE,IRSAD_URP,IRSD_SCORE,electorate,mean_tax_000s,political_score,per_capita
800,NT,2015,1,85.0-89.9,1,5,PHN701,701,1077,952,1072,4564,1060,Solomon,71.263,6.5,13109.1133
800,NT,2015,5,85.0-89.9,1,5,PHN701,701,1077,952,1072,4564,1060,Solomon,71.263,6.5,13109.1133
800,NT,2015,2,75.0-79.9,1,3,PHN701,701,1077,952,1072,4564,1060,Solomon,71.263,6.5,13109.1133
810,NT,2015,2,90.0-92.4,0,6,PHN701,701,1051,1008,1037,29725,1027,Solomon,64.719,6.5,85378.70135
810,NT,2015,1,90.0-92.4,0,6,PHN701,701,1051,1008,1037,29725,1027,Solomon,64.719,6.5,85378.70135
810,NT,2015,5,90.0-92.4,0,6,PHN701,701,1051,1008,1037,29725,1027,Solomon,64.719,6.5,85378.70135
812,NT,2015,2,90.0-92.4,0,6,PHN701,701,1007,1015,1019,19334,1013,Solomon,63.273,6.5,55532.77752
812,NT,2015,5,90.0-92.4,0,6,PHN701,701,1007,1015,1019,19334,1013,Solomon,63.273,6.5,55532.77752
812,NT,2015,1,92.5-94.9,0,7,PHN701,701,1007,1015,1019,19334,1013,Solomon,63.273,6.5,55532.77752
820,NT,2015,2,90.0-92.4,0,6,PHN701,701,1081,1008,1076,19057,1067,Solomon,79.588,6.5,54737.1543
820,NT,2015,5,85.0-89.9,0,5,PHN701,701,1081,1008,1076,19057,1067,Solomon,79.588,6.5,54737.1543
820,NT,2015,1,90.0-92.4,0,6,PHN701,701,1081,1008,1076,19057,1067,Solomon,79.588,6.5,54737.1543
822,NT,2015,1,92.5-94.9,0,7,PHN701,701,882,645,702,24120,630,Lingiari,45.882,5.25,69279.53832
822,NT,2015,5,92.5-94.9,0,7,PHN701,701,882,645,702,24120,630,Lingiari,45.882,5.25,69279.53832
