postcode,state,year,age,pc_immun,caution,pc_immun_class,PHN_code,PHN_number,IEO_MAXS,IEO_MINS,IEO_RWAD,IEO_RWAP,IEO_RWAR,IEO_RWSD,IEO_RWSP,IEO_RWSR,IEO_SCORE,IEO_URP,IER_MAXS,IER_MINS,IER_RWAD,IER_RWAP,IER_RWAR,IER_RWSD,IER_RWSP,IER_RWSR,IER_SCORE,IER_URP,IRSAD_MAXS,IRSAD_MINS,IRSAD_RWAD,IRSAD_RWAP,IRSAD_RWAR,IRSAD_RWSD,IRSAD_RWSP,IRSAD_RWSR,IRSAD_SCORE,IRSAD_URP,IRSD_MAXS,IRSD_MINS,IRSD_RWAD,IRSD_RWAP,IRSD_RWAR,IRSD_RWSD,IRSD_RWSP,IRSD_RWSR,IRSD_SCORE,IRSD_URP,electorate,total_tax,num_individuals,mean_tax_000s,political_score
800,NT,2016,1,90.0-92.4,1,6,PHN701,701,1163,1023,9,87,2287,10,92,33,1089,6464,1019,751,2,16,412,6,51,18,946,6464,1167,914,10,92,2398,10,92,33,1096,6464,1125,842,9,86,2243,8,78,28,1066,6464,Solomon,389375576,5464,71.263,4
800,NT,2016,2,75.0-79.9,1,3,PHN701,701,1163,1023,9,87,2287,10,92,33,1089,6464,1019,751,2,16,412,6,51,18,946,6464,1167,914,10,92,2398,10,92,33,1096,6464,1125,842,9,86,2243,8,78,28,1066,6464,Solomon,389375576,5464,71.263,4
800,NT,2016,5,90.0-92.4,1,6,PHN701,701,1163,1023,9,87,2287,10,92,33,1089,6464,1019,751,2,16,412,6,51,18,946,6464,1167,914,10,92,2398,10,92,33,1096,6464,1125,842,9,86,2243,8,78,28,1066,6464,Solomon,389375576,5464,71.263,4
810,NT,2016,5,90.0-92.4,0,6,PHN701,701,1181,858,8,77,2001,9,84,30,1045,33302,1162,779,6,58,1510,8,76,27,1014,33302,1168,868,9,81,2121,8,73,26,1052,33302,1146,832,8,72,1883,7,67,24,1037,33302,Solomon,1367379789,21128,64.719,4
810,NT,2016,1,92.5-94.9,0,7,PHN701,701,1181,858,8,77,2001,9,84,30,1045,33302,1162,779,6,58,1510,8,76,27,1014,33302,1168,868,9,81,2121,8,73,26,1052,33302,1146,832,8,72,1883,7,67,24,1037,33302,Solomon,1367379789,21128,64.719,4
810,NT,2016,2,90.0-92.4,0,6,PHN701,701,1181,858,8,77,2001,9,84,30,1045,33302,1162,779,6,58,1510,8,76,27,1014,33302,1168,868,9,81,2121,8,73,26,1052,33302,1146,832,8,72,1883,7,67,24,1037,33302,Solomon,1367379789,21128,64.719,4
812,NT,2016,1,90.0-92.4,0,6,PHN701,701,1061,916,6,58,1520,6,56,20,997,18873,1122,735,6,57,1485,7,70,25,1013,18873,1130,782,7,69,1800,7,62,22,1020,18873,1111,720,6,59,1535,6,59,21,1013,18873,Solomon,728206334,11509,63.273,4
812,NT,2016,5,92.5-94.9,0,7,PHN701,701,1061,916,6,58,1520,6,56,20,997,18873,1122,735,6,57,1485,7,70,25,1013,18873,1130,782,7,69,1800,7,62,22,1020,18873,1111,720,6,59,1535,6,59,21,1013,18873,Solomon,728206334,11509,63.273,4
812,NT,2016,2,85.0-89.9,0,5,PHN701,701,1061,916,6,58,1520,6,56,20,997,18873,1122,735,6,57,1485,7,70,25,1013,18873,1130,782,7,69,1800,7,62,22,1020,18873,1111,720,6,59,1535,6,59,21,1013,18873,Solomon,728206334,11509,63.273,4
820,NT,2016,2,80.0-84.9,0,4,PHN701,701,1214,622,9,87,2263,9,89,32,1085,19447,1159,407,6,56,1453,7,67,24,1011,19447,1211,523,10,91,2389,9,89,32,1094,19447,1167,403,9,89,2323,9,87,31,1073,19447,Solomon,1054696579,13252,79.588,4
820,NT,2016,5,92.5-94.9,0,7,PHN701,701,1214,622,9,87,2263,9,89,32,1085,19447,1159,407,6,56,1453,7,67,24,1011,19447,1211,523,10,91,2389,9,89,32,1094,19447,1167,403,9,89,2323,9,87,31,1073,19447,Solomon,1054696579,13252,79.588,4
820,NT,2016,1,90.0-92.4,0,6,PHN701,701,1214,622,9,87,2263,9,89,32,1085,19447,1159,407,6,56,1453,7,67,24,1011,19447,1211,523,10,91,2389,9,89,32,1094,19447,1167,403,9,89,2323,9,87,31,1073,19447,Solomon,1054696579,13252,79.588,4
822,NT,2016,1,92.5-94.9,0,7,PHN701,701,1083,576,1,6,137,2,14,5,880,25560,1107,405,1,1,13,2,12,4,658,25560,1071,463,1,1,15,1,9,3,754,25560,1072,225,1,1,11,1,9,3,650,25560,Lingiari,258586148,5636,45.882,4
822,NT,2016,5,92.5-94.9,0,7,PHN701,701,1083,576,1,6,137,2,14,5,880,25560,1107,405,1,1,13,2,12,4,658,25560,1071,463,1,1,15,1,9,3,754,25560,1072,225,1,1,11,1,9,3,650,25560,Lingiari,258586148,5636,45.882,4
822,NT,2016,2,85.0-89.9,0,5,PHN701,701,1083,576,1,6,137,2,14,5,880,25560,1107,405,1,1,13,2,12,4,658,25560,1071,463,1,1,15,1,9,3,754,25560,1072,225,1,1,11,1,9,3,650,25560,Lingiari,258586148,5636,45.882,4
828,NT,2016,5,NP,0,0,PHN701,701,1043,937,6,57,1480,6,53,19,993,1201,1157,863,2,14,364,5,45,16,942,1201,1101,933,5,47,1225,5,48,17,979,1201,1090,899,4,34,880,4,39,14,970,1201,Solomon,52673379,733,71.86,4
828,NT,2016,1,NP,0,0,PHN701,701,1043,937,6,57,1480,6,53,19,993,1201,1157,863,2,14,364,5,45,16,942,1201,1101,933,5,47,1225,5,48,17,979,1201,1090,899,4,34,880,4,39,14,970,1201,Solomon,52673379,733,71.86,4
828,NT,2016,2,NP,0,0,PHN701,701,1043,937,6,57,1480,6,53,19,993,1201,1157,863,2,14,364,5,45,16,942,1201,1101,933,5,47,1225,5,48,17,979,1201,1090,899,4,34,880,4,39,14,970,1201,Solomon,52673379,733,71.86,4
830,NT,2016,1,92.5-94.9,0,7,PHN701,701,1090,841,5,43,1125,4,39,14,967,18207,1193,698,5,41,1076,6,59,21,990,18207,1167,746,6,58,1511,6,56,20,997,18207,1131,689,5,46,1190,6,51,18,989,18207,Solomon,749185895,11179,67.018,4
830,NT,2016,2,85.0-89.9,0,5,PHN701,701,1090,841,5,43,1125,4,39,14,967,18207,1193,698,5,41,1076,6,59,21,990,18207,1167,746,6,58,1511,6,56,20,997,18207,1131,689,5,46,1190,6,51,18,989,18207,Solomon,749185895,11179,67.018,4
830,NT,2016,5,92.5-94.9,0,7,PHN701,701,1090,841,5,43,1125,4,39,14,967,18207,1193,698,5,41,1076,6,59,21,990,18207,1167,746,6,58,1511,6,56,20,997,18207,1131,689,5,46,1190,6,51,18,989,18207,Solomon,749185895,11179,67.018,4
832,NT,2016,2,85.0-89.9,0,5,PHN701,701,1057,938,7,62,1621,7,70,25,1006,15570,1158,945,9,83,2180,9,84,30,1060,15570,1132,1000,9,87,2278,9,81,29,1075,15570,1115,1007,9,88,2296,9,81,29,1071,15570,Solomon,652955268,8969,72.802,4
832,NT,2016,1,92.5-94.9,0,7,PHN701,701,1057,938,7,62,1621,7,70,25,1006,15570,1158,945,9,83,2180,9,84,30,1060,15570,1132,1000,9,87,2278,9,81,29,1075,15570,1115,1007,9,88,2296,9,81,29,1071,15570,Solomon,652955268,8969,72.802,4
832,NT,2016,5,90.0-92.4,0,6,PHN701,701,1057,938,7,62,1621,7,70,25,1006,15570,1158,945,9,83,2180,9,84,30,1060,15570,1132,1000,9,87,2278,9,81,29,1075,15570,1115,1007,9,88,2296,9,81,29,1071,15570,Solomon,652955268,8969,72.802,4
834,NT,2016,1,NP,0,0,PHN701,701,1034,942,6,59,1531,7,62,22,998,1836,1126,1025,10,92,2414,10,92,33,1087,1836,1091,984,9,81,2118,7,70,25,1052,1836,1088,994,8,80,2086,8,76,27,1053,1836,NA,27684255,410,67.523,NA
834,NT,2016,5,NP,0,0,PHN701,701,1034,942,6,59,1531,7,62,22,998,1836,1126,1025,10,92,2414,10,92,33,1087,1836,1091,984,9,81,2118,7,70,25,1052,1836,1088,994,8,80,2086,8,76,27,1053,1836,NA,27684255,410,67.523,NA
835,NT,2016,1,95.0-100.0,1,8,PHN701,701,1021,942,6,60,1555,7,64,23,1000,5132,1186,1025,10,98,2560,10,98,35,1120,5132,1115,984,9,86,2249,8,78,28,1070,5132,1115,994,9,89,2316,9,84,30,1072,5132,Lingiari,235002799,3312,70.955,4
835,NT,2016,2,85.0-89.9,1,5,PHN701,701,1021,942,6,60,1555,7,64,23,1000,5132,1186,1025,10,98,2560,10,98,35,1120,5132,1115,984,9,86,2249,8,78,28,1070,5132,1115,994,9,89,2316,9,84,30,1072,5132,Lingiari,235002799,3312,70.955,4
835,NT,2016,5,90.0-92.4,1,6,PHN701,701,1021,942,6,60,1555,7,64,23,1000,5132,1186,1025,10,98,2560,10,98,35,1120,5132,1115,984,9,86,2249,8,78,28,1070,5132,1115,994,9,89,2316,9,84,30,1072,5132,Lingiari,235002799,3312,70.955,4
836,NT,2016,5,95.0-100.0,0,8,PHN701,701,1010,921,5,44,1153,5,42,15,969,7756,1173,1033,10,97,2544,10,95,34,1114,7756,1108,996,9,82,2137,8,76,27,1055,7756,1100,992,8,78,2034,8,73,26,1049,7756,Lingiari,324110986,4791,67.65,4
836,NT,2016,1,90.0-92.4,1,6,PHN701,701,1010,921,5,44,1153,5,42,15,969,7756,1173,1033,10,97,2544,10,95,34,1114,7756,1108,996,9,82,2137,8,76,27,1055,7756,1100,992,8,78,2034,8,73,26,1049,7756,Lingiari,324110986,4791,67.65,4
836,NT,2016,2,85.0-89.9,1,5,PHN701,701,1010,921,5,44,1153,5,42,15,969,7756,1173,1033,10,97,2544,10,95,34,1114,7756,1108,996,9,82,2137,8,76,27,1055,7756,1100,992,8,78,2034,8,73,26,1049,7756,Lingiari,324110986,4791,67.65,4
837,NT,2016,2,NP,0,0,PHN701,701,934,924,3,21,542,4,34,12,926,412,1045,1038,8,75,1966,9,81,29,1043,412,996,965,6,53,1387,6,53,19,989,412,1008,976,6,52,1362,6,56,20,1001,412,Lingiari,36116416,620,58.253,4
837,NT,2016,1,NP,0,0,PHN701,701,934,924,3,21,542,4,34,12,926,412,1045,1038,8,75,1966,9,81,29,1043,412,996,965,6,53,1387,6,53,19,989,412,1008,976,6,52,1362,6,56,20,1001,412,Lingiari,36116416,620,58.253,4
837,NT,2016,5,NP,0,0,PHN701,701,934,924,3,21,542,4,34,12,926,412,1045,1038,8,75,1966,9,81,29,1043,412,996,965,6,53,1387,6,53,19,989,412,1008,976,6,52,1362,6,56,20,1001,412,Lingiari,36116416,620,58.253,4
838,NT,2016,5,NP,0,0,PHN701,701,993,980,6,54,1408,6,51,18,987,818,1074,1060,9,86,2242,9,87,31,1067,818,1038,1031,8,75,1962,7,67,24,1035,818,1051,1037,8,75,1971,7,70,25,1044,818,Lingiari,31107990,471,66.047,4
838,NT,2016,2,NP,0,0,PHN701,701,993,980,6,54,1408,6,51,18,987,818,1074,1060,9,86,2242,9,87,31,1067,818,1038,1031,8,75,1962,7,67,24,1035,818,1051,1037,8,75,1971,7,70,25,1044,818,Lingiari,31107990,471,66.047,4
838,NT,2016,1,NP,0,0,PHN701,701,993,980,6,54,1408,6,51,18,987,818,1074,1060,9,86,2242,9,87,31,1067,818,1038,1031,8,75,1962,7,67,24,1035,818,1051,1037,8,75,1971,7,70,25,1044,818,Lingiari,31107990,471,66.047,4
839,NT,2016,5,92.5-94.9,1,7,PHN701,701,907,907,2,13,316,3,26,9,907,548,917,917,1,8,197,4,34,12,917,548,965,965,4,40,1043,4,37,13,965,548,993,993,5,48,1243,6,53,19,993,548,NA,53423891,770,69.382,NA
839,NT,2016,2,92.5-94.9,1,7,PHN701,701,907,907,2,13,316,3,26,9,907,548,917,917,1,8,197,4,34,12,917,548,965,965,4,40,1043,4,37,13,965,548,993,993,5,48,1243,6,53,19,993,548,NA,53423891,770,69.382,NA
839,NT,2016,1,92.5-94.9,1,7,PHN701,701,907,907,2,13,316,3,26,9,907,548,917,917,1,8,197,4,34,12,917,548,965,965,4,40,1043,4,37,13,965,548,993,993,5,48,1243,6,53,19,993,548,NA,53423891,770,69.382,NA
840,NT,2016,2,NP,0,0,PHN701,701,880,880,1,6,146,2,17,6,880,363,919,919,1,9,214,4,37,13,919,363,872,872,1,6,138,3,23,8,872,363,871,871,1,6,135,4,31,11,871,363,Lingiari,8883853,152,58.447,4
841,NT,2016,1,NP,0,0,PHN701,701,942,884,2,18,449,4,31,11,919,696,1046,1023,8,71,1857,8,78,28,1036,696,978,954,5,42,1099,4,39,14,968,696,984,956,4,35,920,5,48,17,973,696,Lingiari,21078597,319,66.078,4
841,NT,2016,2,NP,0,0,PHN701,701,942,884,2,18,449,4,31,11,919,696,1046,1023,8,71,1857,8,78,28,1036,696,978,954,5,42,1099,4,39,14,968,696,984,956,4,35,920,5,48,17,973,696,Lingiari,21078597,319,66.078,4
