postcode,state,year,age,pc_immun,caution,pc_immun_class,PHN_code,PHN_number,IEO_SCORE,IER_SCORE,IRSAD_SCORE,IRSD_SCORE,SEIFA_URP,electorate,mean_tax_000s,political_score,govt_funds_per_person
800,NT,2016,1,90.0-92.4,1,6,PHN701,701,1089,946,1096,1066,6464,Solomon,71.263,4,24845
800,NT,2016,2,75.0-79.9,1,3,PHN701,701,1089,946,1096,1066,6464,Solomon,71.263,4,24845
800,NT,2016,5,90.0-92.4,1,6,PHN701,701,1089,946,1096,1066,6464,Solomon,71.263,4,24845
810,NT,2016,5,90.0-92.4,0,6,PHN701,701,1045,1014,1052,1037,33302,Solomon,64.719,4,127999
810,NT,2016,1,92.5-94.9,0,7,PHN701,701,1045,1014,1052,1037,33302,Solomon,64.719,4,127999
810,NT,2016,2,90.0-92.4,0,6,PHN701,701,1045,1014,1052,1037,33302,Solomon,64.719,4,127999
812,NT,2016,1,90.0-92.4,0,6,PHN701,701,997,1013,1020,1013,18873,Solomon,63.273,4,72540
812,NT,2016,5,92.5-94.9,0,7,PHN701,701,997,1013,1020,1013,18873,Solomon,63.273,4,72540
812,NT,2016,2,85.0-89.9,0,5,PHN701,701,997,1013,1020,1013,18873,Solomon,63.273,4,72540
820,NT,2016,2,80.0-84.9,0,4,PHN701,701,1085,1011,1094,1073,19447,Solomon,79.588,4,74746
820,NT,2016,5,92.5-94.9,0,7,PHN701,701,1085,1011,1094,1073,19447,Solomon,79.588,4,74746
820,NT,2016,1,90.0-92.4,0,6,PHN701,701,1085,1011,1094,1073,19447,Solomon,79.588,4,74746
822,NT,2016,1,92.5-94.9,0,7,PHN701,701,880,658,754,650,25560,Lingiari,45.882,4,98242
822,NT,2016,5,92.5-94.9,0,7,PHN701,701,880,658,754,650,25560,Lingiari,45.882,4,98242
822,NT,2016,2,85.0-89.9,0,5,PHN701,701,880,658,754,650,25560,Lingiari,45.882,4,98242
828,NT,2016,5,NP,0,0,PHN701,701,993,942,979,970,1201,Solomon,71.86,4,4616
828,NT,2016,1,NP,0,0,PHN701,701,993,942,979,970,1201,Solomon,71.86,4,4616
828,NT,2016,2,NP,0,0,PHN701,701,993,942,979,970,1201,Solomon,71.86,4,4616
830,NT,2016,1,92.5-94.9,0,7,PHN701,701,967,990,997,989,18207,Solomon,67.018,4,69980
830,NT,2016,2,85.0-89.9,0,5,PHN701,701,967,990,997,989,18207,Solomon,67.018,4,69980
830,NT,2016,5,92.5-94.9,0,7,PHN701,701,967,990,997,989,18207,Solomon,67.018,4,69980
832,NT,2016,2,85.0-89.9,0,5,PHN701,701,1006,1060,1075,1071,15570,Solomon,72.802,4,59845
832,NT,2016,1,92.5-94.9,0,7,PHN701,701,1006,1060,1075,1071,15570,Solomon,72.802,4,59845
832,NT,2016,5,90.0-92.4,0,6,PHN701,701,1006,1060,1075,1071,15570,Solomon,72.802,4,59845
834,NT,2016,1,NP,0,0,PHN701,701,998,1087,1052,1053,1836,NA,67.523,NA,7057
834,NT,2016,5,NP,0,0,PHN701,701,998,1087,1052,1053,1836,NA,67.523,NA,7057
835,NT,2016,1,95.0-100.0,1,8,PHN701,701,1000,1120,1070,1072,5132,Lingiari,70.955,4,19725
835,NT,2016,2,85.0-89.9,1,5,PHN701,701,1000,1120,1070,1072,5132,Lingiari,70.955,4,19725
835,NT,2016,5,90.0-92.4,1,6,PHN701,701,1000,1120,1070,1072,5132,Lingiari,70.955,4,19725
836,NT,2016,5,95.0-100.0,0,8,PHN701,701,969,1114,1055,1049,7756,Lingiari,67.65,4,29811
836,NT,2016,1,90.0-92.4,1,6,PHN701,701,969,1114,1055,1049,7756,Lingiari,67.65,4,29811
836,NT,2016,2,85.0-89.9,1,5,PHN701,701,969,1114,1055,1049,7756,Lingiari,67.65,4,29811
837,NT,2016,2,NP,0,0,PHN701,701,926,1043,989,1001,412,Lingiari,58.253,4,1584
