state,SA3_code,SA3_name,year_start,year_close,age,num_registered,num_fully_immunised,num_not_fully_immunised,percent_fully_immunised,Remoteness ,State,Latitude,Longitude
NSW,10101,Goulburn - Yass,2016,2017,1,844,808,36,95.7,Inner Regional Australia,New South Wales,-34.55398674,149.0763309
NSW,10102,Queanbeyan,2016,2017,1,797,767,30,96.2,Major Cities of Australia,New South Wales,-35.44938606,149.601273
NSW,10103,Snowy Mountains,2016,2017,1,204,193,11,94.6,Outer Regional Australia,New South Wales,-36.43958098,148.9415727
NSW,10104,South Coast,2016,2017,1,624,581,43,93.1,Outer Regional Australia,New South Wales,-36.49930235,149.806337
NSW,10201,Gosford,2016,2017,1,2014,1904,110,94.5,Major Cities of Australia,New South Wales,-33.36541784,151.2181666
NSW,10202,Wyong,2016,2017,1,1973,1905,68,96.6,Major Cities of Australia,New South Wales,-33.22581893,151.3816976
NSW,10301,Bathurst,2016,2017,1,588,564,24,95.9,Inner Regional Australia,New South Wales,-33.6304258,149.6382815
NSW,10302,Lachlan Valley,2016,2017,1,733,705,28,96.2,Outer Regional Australia,New South Wales,-33.32604413,147.4703246
NSW,10303,Lithgow - Mudgee,2016,2017,1,573,544,29,94.9,Inner Regional Australia,New South Wales,-32.73348404,149.8434454
NSW,10304,Orange,2016,2017,1,888,854,34,96.2,Inner Regional Australia,New South Wales,-33.27061993,148.9318617
NSW,10401,Clarence Valley,2016,2017,1,498,473,25,95,Inner Regional Australia,New South Wales,-29.61894725,152.7806855
NSW,10402,Coffs Harbour,2016,2017,1,948,862,86,90.9,Inner Regional Australia,New South Wales,-30.27335968,152.7580898
NSW,10501,Bourke - Cobar - Coonamble,2016,2017,1,390,358,32,91.8,Remote Australia,New South Wales,-30.7258921,146.4140878
NSW,10502,Broken Hill and Far West,2016,2017,1,258,247,11,95.7,Outer Regional Australia,New South Wales,-31.09501969,142.7174528
NSW,10503,Dubbo,2016,2017,1,977,928,49,95,Inner Regional Australia,New South Wales,-31.85906414,148.8397891
NSW,10601,Lower Hunter,2016,2017,1,1224,1168,56,95.4,Inner Regional Australia,New South Wales,-32.62379473,151.2242071
NSW,10602,Maitland,2016,2017,1,1005,962,43,95.7,Major Cities of Australia,New South Wales,-32.70976669,151.5487316
NSW,10603,Port Stephens,2016,2017,1,801,757,44,94.5,Inner Regional Australia,New South Wales,-32.69742503,151.9035572
NSW,10604,Upper Hunter,2016,2017,1,450,433,17,96.2,Inner Regional Australia,New South Wales,-32.1087795,150.7001015
NSW,10701,Dapto - Port Kembla,2016,2017,1,982,933,49,95,Major Cities of Australia,New South Wales,-34.48809696,150.79923
NSW,10702,Illawarra Catchment Reserve,2016,2017,1,NP,NP,NP,NP,Inner Regional Australia,New South Wales,-34.36944615,150.7154585
NSW,10703,Kiama - Shellharbour,2016,2017,1,1098,1054,44,96,Major Cities of Australia,New South Wales,-34.6478533,150.7664797
NSW,10704,Wollongong,2016,2017,1,1507,1428,79,94.8,Major Cities of Australia,New South Wales,-34.2520735,150.9320312
NSW,10801,Great Lakes,2016,2017,1,266,251,15,94.4,Inner Regional Australia,New South Wales,-32.3351385,152.1572694
NSW,10802,Kempsey - Nambucca,2016,2017,1,537,492,45,91.6,Outer Regional Australia,New South Wales,-30.86236473,152.6452218
NSW,10803,Lord Howe Island,2016,2017,1,NP,NP,NP,NP,Very Remote Australia,New South Wales,-31.55255042,159.0768055
NSW,10804,Port Macquarie,2016,2017,1,731,694,37,94.9,Inner Regional Australia,New South Wales,-31.41013988,152.531271
NSW,10805,Taree - Gloucester,2016,2017,1,519,491,28,94.6,Inner Regional Australia,New South Wales,-31.84246377,152.0660402
NSW,10901,Albury,2016,2017,1,873,817,56,93.6,Inner Regional Australia,New South Wales,-35.76678218,147.1756889
