SA3 Code,SA3_Name,Year,Remoteness ,State,Latitude,Longitude,Estimated Resident Population,Patent applicants (total),"Patent applicants (per 10,000 residents)",Trademark applicants (total),"Trademark applicants (per 10,000 residents)",New business entries,"New business entries (per 10,000 residents)",Business Research and Development Expenditure,Unemployed (total),Labour force (total),"Postgraduate Degree Level (total, 2011)","Graduate Diploma and Graduate Certificate Level (total, 2011)","Bachelor Degree Level (total, 2011)","Advanced Diploma and Diploma Level (total, 2011)","Certificate Level (total, 2011)","Year 12 or equivalent (total, 2011)","Did not go to school (total, 2011)",Accommodation and Food Services (count of businesses),Administrative and Support Services (count of businesses),"Agriculture, Forestry and Fishing (count of businesses)",Arts and Recreation Services (count of businesses),Construction (count of businesses),Education and Training (count of businesses),"Electricity, Gas, Water and Waste Services (count of businesses)",Financial and Insurance Services (count of businesses),Health Care and Social Assistance (count of businesses),Information Media and Telecommunications (count of businesses),Manufacturing (count of businesses),Mining (count of businesses),"Professional, Scientific and Technical Services (count of businesses)",Public Administration and Safety (count of businesses),"Rental, Hiring and Real Estate Services (count of businesses)",Retail Trade (count of businesses),"Transport, Postal and Warehousing (count of businesses)",Wholesale Trade (count of businesses),Top industry (by count of businesses),Count of University Campuses (2015),Count of TAFEs (2015),Count of Research Institutes (2015)
10101,Goulburn - Yass,2009,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,67745,33,4.9,130,19.2,783,115.6,2160700,NA,NA,1095,789,4687,3777,11410,18557,226,271,156,2841,68,957,51,18,241,188,21,219,15,467,15,405,447,425,171,"Agriculture, Forestry and Fishing",1,3,0
10101,Goulburn - Yass,2010,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,68950,26,3.8,186,27.0,912,132.3,1914102,1709,34647,1095,789,4687,3777,11410,18557,226,274,169,2881,67,966,57,18,257,213,24,245,12,481,28,399,467,419,167,"Agriculture, Forestry and Fishing",1,3,0
10101,Goulburn - Yass,2011,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,69775,30,4.3,86,12.3,785,112.5,1363185,1069,36856,1095,789,4687,3777,11410,18557,226,270,173,2947,84,1011,63,20,287,199,25,239,18,519,19,415,466,408,165,"Agriculture, Forestry and Fishing",1,3,0
10101,Goulburn - Yass,2012,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,70811,20,2.8,80,11.3,780,110.2,2739540,1278,37375,1095,789,4687,3777,11410,18557,226,263,186,2851,73,985,47,21,304,225,9,225,12,519,9,422,449,408,163,"Agriculture, Forestry and Fishing",1,3,0
10101,Goulburn - Yass,2013,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,71629,28,3.9,74,10.3,620,86.6,3996288,1476,35107,1095,789,4687,3777,11410,18557,226,237,166,2857,77,957,58,21,296,220,12,214,21,501,15,420,435,403,160,"Agriculture, Forestry and Fishing",1,3,0
10101,Goulburn - Yass,2014,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,72046,12,1.7,74,10.3,783,108.7,4160554,1961,35580,1095,789,4687,3777,11410,18557,226,234,151,2896,86,988,48,21,308,227,15,219,21,484,15,430,423,406,169,"Agriculture, Forestry and Fishing",1,3,0
10101,Goulburn - Yass,2015,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,72420,12,1.7,86,11.9,NA,NA,NA,1383,36493,1095,789,4687,3777,11410,18557,226,254,148,2873,96,1007,57,24,314,227,15,211,15,489,9,422,394,397,169,"Agriculture, Forestry and Fishing",1,3,0
10102,Queanbeyan,2009,Major Cities of Australia,New South Wales,-35.44938606,149.601273,54354,16,2.9,67,12.3,614,113.0,3009939,NA,NA,2189,1129,5568,3808,8112,22107,202,158,140,598,78,1079,52,6,152,124,27,191,9,477,15,336,272,302,105,Construction,0,1,1
10102,Queanbeyan,2010,Major Cities of Australia,New South Wales,-35.44938606,149.601273,55410,14,2.5,50,9.0,739,133.4,4526206,619,33153,2189,1129,5568,3808,8112,22107,202,173,142,615,77,1110,74,18,182,143,31,210,6,519,9,340,277,319,102,Construction,0,1,1
10102,Queanbeyan,2011,Major Cities of Australia,New South Wales,-35.44938606,149.601273,56051,16,2.9,61,10.9,588,104.9,5059517,409,35333,2189,1129,5568,3808,8112,22107,202,157,158,613,79,1145,65,27,179,127,32,218,7,527,21,368,253,321,103,Construction,0,1,1
