POSTCODE_2011,SA3_CODE_2011,SA3_NAME_2011
800,70101,Darwin City
810,70102,Darwin Suburbs
812,70102,Darwin Suburbs
820,70101,Darwin City
820,70102,Darwin Suburbs
822,70102,Darwin Suburbs
822,70103,Litchfield
822,70203,Daly - Tiwi - West Arnhem
822,70204,East Arnhem
822,70205,Katherine
828,70102,Darwin Suburbs
829,70103,Litchfield
829,70104,Palmerston
830,70103,Litchfield
830,70104,Palmerston
832,70103,Litchfield
832,70104,Palmerston
835,70103,Litchfield
836,70103,Litchfield
837,70103,Litchfield
838,70103,Litchfield
840,70203,Daly - Tiwi - West Arnhem
841,70103,Litchfield
845,70203,Daly - Tiwi - West Arnhem
846,70203,Daly - Tiwi - West Arnhem
847,70203,Daly - Tiwi - West Arnhem
850,70205,Katherine
852,50804,Kimberley
852,70201,Alice Springs
852,70202,Barkly
852,70203,Daly - Tiwi - West Arnhem
852,70205,Katherine
853,70205,Katherine
854,70205,Katherine
860,70202,Barkly
862,70202,Barkly
862,70205,Katherine
870,70201,Alice Springs
872,40602,Outback - North and East
872,50803,Goldfields
872,50806,Pilbara
872,70201,Alice Springs
872,70202,Barkly
880,70204,East Arnhem
885,70204,East Arnhem
886,70203,Daly - Tiwi - West Arnhem
909,70102,Darwin Suburbs
2000,11703,Sydney Inner City
2006,11703,Sydney Inner City
2007,11703,Sydney Inner City
2008,11703,Sydney Inner City
2009,11703,Sydney Inner City
2010,11703,Sydney Inner City
2011,11703,Sydney Inner City
2015,11703,Sydney Inner City
2016,11703,Sydney Inner City
2017,11703,Sydney Inner City
2018,11701,Botany
2018,11703,Sydney Inner City
2019,11701,Botany
2020,11701,Botany
2021,11801,Eastern Suburbs - North
2022,11801,Eastern Suburbs - North
2023,11801,Eastern Suburbs - North
2024,11801,Eastern Suburbs - North
2025,11801,Eastern Suburbs - North
2026,11801,Eastern Suburbs - North
2027,11801,Eastern Suburbs - North
2028,11801,Eastern Suburbs - North
2029,11801,Eastern Suburbs - North
2030,11801,Eastern Suburbs - North
2031,11802,Eastern Suburbs - South
2032,11701,Botany
2032,11802,Eastern Suburbs - South
2033,11703,Sydney Inner City
2033,11802,Eastern Suburbs - South
2034,11802,Eastern Suburbs - South
2035,11701,Botany
2035,11802,Eastern Suburbs - South
2036,11701,Botany
2036,11802,Eastern Suburbs - South
2037,11703,Sydney Inner City
2038,11703,Sydney Inner City
2038,12002,Leichhardt
2039,12002,Leichhardt
2040,12002,Leichhardt
2041,12002,Leichhardt
2042,11702,Marrickville - Sydenham - Petersham
2042,11703,Sydney Inner City
2043,11703,Sydney Inner City
2044,11702,Marrickville - Sydenham - Petersham
2044,11703,Sydney Inner City
2045,12002,Leichhardt
2045,12003,Strathfield - Burwood - Ashfield
2046,12001,Canada Bay
2047,12001,Canada Bay
2048,11702,Marrickville - Sydenham - Petersham
2048,12002,Leichhardt
2049,11702,Marrickville - Sydenham - Petersham
