"","SA1_MAINCODE_2016","SA3_CODE_2016","POA_CODE_2016"
"1",19999949999,19999,"9494"
"2",10901117207,10901,"2640"
"3",10901117612,10901,"2641"
"4",10901117621,10901,"2641"
"5",10901117621,10901,"2641"
"6",10901117613,10901,"2641"
"7",10901117613,10901,"2641"
"8",10901117615,10901,"2641"
"9",10901117220,10901,"2640"
"10",10901117220,10901,"2640"
"11",10901117220,10901,"2640"
"12",10901117617,10901,"2641"
"13",10901117614,10901,"2641"
"14",10901117614,10901,"2641"
"15",10901117218,10901,"2640"
"16",10901117628,10901,"2641"
"17",10901117624,10901,"2641"
"18",10901117628,10901,"2641"
"19",10901117217,10901,"2640"
"20",10901117325,10901,"2640"
"21",10901117325,10901,"2640"
"22",10901117322,10901,"2640"
"23",10901117322,10901,"2640"
"24",10901117322,10901,"2640"
"25",10901117325,10901,"2640"
"26",10901117301,10901,"2640"
"27",10901117323,10901,"2640"
"28",10901117301,10901,"2640"
"29",10901117301,10901,"2640"
"30",10901117428,10901,"2640"
"31",10901117305,10901,"2640"
"32",10901117428,10901,"2640"
"33",10901117318,10901,"2640"
"34",10901117218,10901,"2640"
"35",10901117622,10901,"2641"
"36",10901117423,10901,"2640"
"37",10901117507,10901,"2640"
"38",10901117507,10901,"2640"
"39",10901117423,10901,"2640"
"40",10901117429,10901,"2640"
"41",10901117416,10901,"2640"
"42",10901117229,10901,"2640"
"43",10901117229,10901,"2640"
"44",10901117423,10901,"2640"
"45",10901117423,10901,"2640"
"46",10901117508,10901,"2640"
"47",10901117508,10901,"2640"
"48",10901117508,10901,"2640"
"49",10901117507,10901,"2640"
"50",10901117508,10901,"2640"
"51",10901117508,10901,"2640"
"52",10901117507,10901,"2640"
"53",10901117632,10901,"2641"
"54",10901117632,10901,"2641"
"55",10901117632,10901,"2641"
"56",10901117608,10901,"2641"
"57",10901117608,10901,"2641"
"58",10901117608,10901,"2641"
"59",10901117607,10901,"2641"
"60",10901117304,10901,"2640"
"61",10901117304,10901,"2640"
"62",10901117304,10901,"2640"
"63",10901117234,10901,"2640"
"64",10901117231,10901,"2640"
"65",10901117210,10901,"2640"
"66",10901117413,10901,"2640"
"67",10901117414,10901,"2640"
"68",10901117414,10901,"2640"
"69",10901117631,10901,"2641"
"70",10901117633,10901,"2641"
"71",10901117507,10901,"2640"
"72",10901117507,10901,"2640"
"73",10901117506,10901,"2640"
"74",10901117413,10901,"2640"
"75",10901117413,10901,"2640"
"76",10901117209,10901,"2640"
"77",10901117319,10901,"2640"
"78",10901117319,10901,"2640"
"79",10901117304,10901,"2640"
"80",10901117304,10901,"2640"
"81",10901117633,10901,"2641"
"82",10901117633,10901,"2641"
"83",10901117224,10901,"2640"
"84",10901117412,10901,"2640"
"85",10901117412,10901,"2640"
"86",10901117412,10901,"2640"
"87",10901117407,10901,"2640"
"88",10901117407,10901,"2640"
"89",10901117609,10901,"2641"
"90",10901117427,10901,"2640"
"91",10901117404,10901,"2640"
"92",10901117404,10901,"2640"
"93",10901117404,10901,"2640"
"94",10901117404,10901,"2640"
"95",10901117409,10901,"2640"
"96",10901117409,10901,"2640"
"97",10901117601,10901,"2641"
"98",10901117601,10901,"2641"
"99",10901117217,10901,"2640"
"100",10901117217,10901,"2640"
"101",10901117217,10901,"2640"
"102",10901117611,10901,"2641"
"103",10901117611,10901,"2641"
"104",10901117611,10901,"2641"
"105",10901117611,10901,"2641"
"106",10901117226,10901,"2640"
"107",10901117218,10901,"2640"
"108",10901117217,10901,"2640"
"109",10901117609,10901,"2641"
"110",10901117609,10901,"2641"
"111",10901117609,10901,"2641"
"112",10901117301,10901,"2640"
"113",10901117315,10901,"2640"
"114",10901117325,10901,"2640"
"115",10901117302,10901,"2640"
"116",10901117302,10901,"2640"
"117",10901117235,10901,"2640"
"118",10901117235,10901,"2640"
"119",10901117625,10901,"2641"
"120",10901117631,10901,"2641"
"121",10901117633,10901,"2641"
"122",10901117612,10901,"2641"
"123",10901117612,10901,"2641"
"124",10901117612,10901,"2641"
"125",10901117611,10901,"2641"
"126",10901117611,10901,"2641"
"127",10901117619,10901,"2641"
"128",10901117619,10901,"2641"
"129",10901117619,10901,"2641"
"130",10901117619,10901,"2641"
"131",10901117409,10901,"2640"
"132",10901117409,10901,"2640"
"133",10901117234,10901,"2640"
"134",10901117425,10901,"2640"
"135",10901117424,10901,"2640"
"136",10901117424,10901,"2640"
"137",10901117425,10901,"2640"
"138",10901117425,10901,"2640"
"139",10901117229,10901,"2640"
"140",10901117229,10901,"2640"
"141",10901117219,10901,"2640"
"142",10901117219,10901,"2640"
"143",10901117219,10901,"2640"
"144",10901117220,10901,"2640"
"145",10901117220,10901,"2640"
"146",10901117220,10901,"2640"
"147",10901117416,10901,"2640"
"148",10901117416,10901,"2640"
"149",10901117220,10901,"2640"
"150",10901117612,10901,"2641"
"151",10901117405,10901,"2640"
"152",10901117410,10901,"2640"
"153",10901117410,10901,"2640"
"154",10901117410,10901,"2640"
"155",10901117420,10901,"2640"
"156",10901117416,10901,"2640"
"157",10901117416,10901,"2640"
"158",10901117402,10901,"2640"
"159",10901117422,10901,"2640"
"160",10901117311,10901,"2640"
"161",10901117311,10901,"2640"
"162",10901117635,10901,"2641"
"163",10901117635,10901,"2641"
"164",10901117635,10901,"2641"
"165",10901117403,10901,"2640"
"166",10901117403,10901,"2640"
"167",10901117402,10901,"2640"
"168",10901117403,10901,"2640"
"169",10901117603,10901,"2641"
"170",10901117603,10901,"2641"
"171",10901117603,10901,"2641"
"172",10901117316,10901,"2640"
"173",10901117316,10901,"2640"
"174",10901117316,10901,"2640"
"175",10901117215,10901,"2640"
"176",10901117215,10901,"2640"
"177",10901117208,10901,"2640"
"178",10901117629,10901,"2641"
"179",10901117617,10901,"2641"
"180",10901117613,10901,"2641"
"181",10901117613,10901,"2641"
"182",10901117613,10901,"2641"
"183",10901117216,10901,"2640"
"184",10901117216,10901,"2640"
"185",10901117603,10901,"2641"
"186",10901117416,10901,"2640"
"187",10901117315,10901,"2640"
"188",10901117315,10901,"2640"
"189",10901117621,10901,"2641"
"190",10901117621,10901,"2641"
"191",10901117620,10901,"2641"
"192",10901117620,10901,"2641"
"193",10901117423,10901,"2640"
"194",10901117636,10901,"2641"
"195",10901117636,10901,"2641"
"196",10901117202,10901,"2640"
"197",10901117202,10901,"2640"
"198",10901117202,10901,"2640"
"199",10901117206,10901,"2640"
"200",10901117233,10901,"2640"
"201",10901117233,10901,"2640"
"202",10901117233,10901,"2640"
"203",10901117233,10901,"2640"
"204",10901117233,10901,"2640"
"205",10901117321,10901,"2640"
"206",10901117620,10901,"2641"
"207",10901117229,10901,"2641"
"208",10901117615,10901,"2641"
"209",10901117626,10901,"2641"
"210",10901117602,10901,"2641"
"211",10901117203,10901,"2640"
"212",10901117203,10901,"2640"
"213",10901117202,10901,"2640"
"214",10901117418,10901,"2640"
"215",10901117418,10901,"2640"
"216",10901117636,10901,"2641"
"217",10901117636,10901,"2641"
"218",10901117209,10901,"2640"
"219",10901117321,10901,"2640"
"220",10901117321,10901,"2640"
"221",10901117426,10901,"2640"
"222",10901117426,10901,"2640"
"223",10901117417,10901,"2640"
"224",10901117419,10901,"2640"
"225",10901117417,10901,"2640"
"226",10901117418,10901,"2640"
"227",10901117418,10901,"2640"
"228",10901117634,10901,"2641"
"229",10901117612,10901,"2641"
"230",10901117612,10901,"2641"
"231",10901117605,10901,"2641"
"232",10901117605,10901,"2641"
"233",10901117627,10901,"2641"
"234",10901117627,10901,"2641"
"235",10901117604,10901,"2641"
"236",10901117604,10901,"2641"
"237",10901117608,10901,"2641"
"238",10901117608,10901,"2641"
"239",10901117403,10901,"2640"
"240",10901117403,10901,"2640"
"241",10901117604,10901,"2641"
"242",10901117604,10901,"2641"
"243",10901117306,10901,"2640"
"244",10901117224,10901,"2640"
"245",10901117224,10901,"2640"
"246",10901117618,10901,"2641"
"247",10901117618,10901,"2641"
"248",10901117426,10901,"2640"
"249",10901117426,10901,"2640"
"250",10901117318,10901,"2640"
"251",10901117318,10901,"2640"
"252",10901117634,10901,"2641"
"253",10901117508,10901,"2640"
"254",10901117201,10901,"2640"
"255",10901117302,10901,"2640"
"256",10901117409,10901,"2640"
"257",10901117409,10901,"2640"
"258",10901117222,10901,"2640"
"259",10901117601,10901,"2641"
"260",10901117636,10901,"2641"
"261",10901117204,10901,"2640"
"262",10901117204,10901,"2640"
"263",10901117204,10901,"2640"
"264",10901117228,10901,"2640"
"265",10901117321,10901,"2640"
"266",10901117228,10901,"2640"
"267",10901117636,10901,"2641"
"268",10901117624,10901,"2641"
"269",10901117302,10901,"2640"
"270",10901117321,10901,"2640"
"271",10901117211,10901,"2640"
"272",10901117636,10901,"2641"
"273",10901117410,10901,"2640"
"274",10901117401,10901,"2640"
"275",10901117311,10901,"2640"
"276",10901117326,10901,"2640"
"277",10901117403,10901,"2640"
"278",10901117206,10901,"2640"
"279",10901117424,10901,"2640"
"280",10901117424,10901,"2640"
"281",10901117314,10901,"2640"
"282",10901117314,10901,"2640"
"283",10901117613,10901,"2641"
"284",10901117627,10901,"2641"
"285",10901117627,10901,"2641"
"286",10901117202,10901,"2640"
"287",10901117407,10901,"2640"
"288",10901117624,10901,"2641"
"289",10901117222,10901,"2640"
"290",10901117222,10901,"2640"
"291",10901117605,10901,"2641"
"292",10901117402,10901,"2640"
"293",10901117316,10901,"2640"
"294",10901117615,10901,"2641"
"295",10901117615,10901,"2641"
"296",10901117402,10901,"2640"
"297",10901117205,10901,"2640"
"298",10901117205,10901,"2640"
"299",10901117423,10901,"2640"
"300",10901117407,10901,"2640"
"301",10901117407,10901,"2640"
"302",10901117305,10901,"2640"
"303",10901117321,10901,"2640"
"304",10901117602,10901,"2641"
"305",10901117314,10901,"2640"
"306",10901117616,10901,"2641"
"307",10901117620,10901,"2641"
"308",10901117406,10901,"2640"
"309",10901117624,10901,"2641"
"310",10901117207,10901,"2640"
"311",10901117203,10901,"2640"
"312",10901117222,10901,"2640"
"313",10901117307,10901,"2640"
"314",10901117307,10901,"2640"
"315",10901117303,10901,"2640"
"316",10901117303,10901,"2640"
"317",10901117306,10901,"2640"
"318",10901117406,10901,"2640"
"319",10901117425,10901,"2640"
"320",10901117426,10901,"2640"
"321",10901117621,10901,"2641"
"322",10901117621,10901,"2641"
"323",10901117621,10901,"2641"
"324",10901117305,10901,"2640"
"325",10901117305,10901,"2640"
"326",10901117305,10901,"2640"
"327",10901117622,10901,"2641"
"328",10901117408,10901,"2640"
"329",10901117408,10901,"2640"
"330",10901117409,10901,"2640"
"331",10901117407,10901,"2640"
"332",10901117409,10901,"2640"
"333",10901117308,10901,"2640"
"334",10901117309,10901,"2640"
"335",10901117313,10901,"2640"
"336",10901117313,10901,"2640"
"337",10901117309,10901,"2640"
"338",10901117307,10901,"2640"
"339",10901117307,10901,"2640"
"340",10901117212,10901,"2640"
"341",10901117634,10901,"2641"
"342",10901117634,10901,"2641"
"343",10901117634,10901,"2641"
"344",10901117428,10901,"2640"
"345",10901117428,10901,"2640"
"346",10901117606,10901,"2641"
"347",10901117604,10901,"2641"
"348",10901117605,10901,"2641"
"349",10901117605,10901,"2641"
"350",10901117610,10901,"2641"
"351",10901117622,10901,"2641"
"352",10901117622,10901,"2641"
"353",10901117308,10901,"2640"
"354",10901117421,10901,"2640"
"355",10901117628,10901,"2641"
"356",10901117628,10901,"2641"
"357",10901117229,10901,"2640"
"358",10901117229,10901,"2640"
"359",10901117229,10901,"2640"
"360",10901117229,10901,"2640"
"361",10901117229,10901,"2640"
"362",10901117310,10901,"2640"
"363",10901117410,10901,"2640"
"364",10901117427,10901,"2640"
"365",10901117427,10901,"2640"
"366",10901117427,10901,"2640"
"367",10901117205,10901,"2640"
"368",10901117208,10901,"2640"
"369",10901117205,10901,"2640"
"370",10901117205,10901,"2640"
"371",10901117634,10901,"2641"
"372",10901117211,10901,"2640"
"373",10901117320,10901,"2640"
"374",10901117227,10901,"2640"
