postcode,tax_individuals,medicare_levy_surcharge_num,govt_allow_payments_num,govt_pensions_allow_num,private_health_num
2600,"5,581",119,153,175,"4,597"
2601,"2,658",88,216,41,"1,637"
2602,"19,457",565,"1,238",892,"13,434"
2603,"6,478",131,239,157,"5,193"
2604,"7,387",248,272,230,"5,465"
2605,"7,437",170,211,444,"5,844"
2606,"6,312",163,311,363,"4,058"
2607,"9,224",199,328,571,"6,981"
2609,561,12,45,31,299
2611,"17,714",424,671,"1,188","13,333"
2612,"10,180",274,633,185,"6,678"
2614,"12,324",244,609,815,"8,760"
2615,"27,270",538,"1,523","1,578","17,854"
2617,"20,445",414,"1,210",860,"13,296"
2900,"1,274",45,49,65,822
2902,"9,314",226,399,559,"6,494"
2903,"5,912",106,260,347,"4,101"
2904,"8,647",178,255,494,"6,607"
2905,"18,219",340,827,812,"11,932"
2906,"11,137",224,461,435,"7,467"
2911,"2,900",71,79,53,"1,981"
2912,"3,815",92,199,86,"2,162"
2913,"21,950",423,969,695,"14,363"
2914,"14,761",342,573,294,"9,607"
ACT other,685,13,34,39,382
2000,"24,207",385,331,132,"7,710"
2006,79,2,4,2,53
2007,"4,879",71,211,53,"1,763"
2008,"6,025",140,356,44,"2,678"
2009,"9,763",260,266,137,"5,628"
2010,"20,638",727,868,240,"11,789"
2011,"15,288",481,557,309,"8,926"
2015,"7,444",196,333,81,"4,927"
2016,"8,718",252,533,172,"4,955"
2017,"14,025",392,605,188,"7,594"
2018,"9,425",145,509,291,"4,995"
2019,"6,578",124,258,206,"4,068"
2020,"9,856",177,359,211,"5,011"
2021,"10,987",311,402,208,"8,190"
2022,"9,078",200,287,270,"5,739"
2023,"7,254",146,192,113,"5,837"
2024,"7,561",220,231,229,"5,559"
2025,"5,340",116,138,156,"4,293"
2026,"24,401",780,800,502,"15,201"
2027,"5,995",157,137,144,"4,942"
2028,"3,520",83,87,79,"2,808"
2029,"7,020",153,220,237,"5,551"
2030,"9,819",136,255,216,"8,281"
2031,"23,160",566,786,620,"15,896"
2032,"8,418",118,455,269,"4,932"
2033,"7,203",132,377,162,"4,416"
2034,"14,469",471,512,342,"9,766"
2035,"21,300",368,915,801,"14,203"
2036,"16,592",274,819,772,"10,133"
2037,"10,248",283,688,221,"6,153"
2038,"5,999",132,301,135,"4,415"
2039,"5,863",153,173,133,"4,531"
2040,"13,258",288,635,387,"9,655"
2041,"10,970",259,352,255,"8,751"
2042,"13,060",319,993,231,"7,827"
2043,"5,762",185,248,70,"3,974"
2044,"5,079",125,318,115,"2,901"
2045,"3,974",54,116,131,"3,084"
2046,"16,470",257,548,721,"12,628"
2047,"7,763",141,225,254,"6,098"
2048,"5,157",126,352,130,"3,381"
2049,"7,044",165,518,205,"4,384"
2050,"5,617",177,339,72,"3,689"
2052,133,1,30,0,54
2060,"10,632",325,296,278,"7,826"
2061,"4,551",156,116,70,"3,438"
2062,"4,697",75,116,121,"3,862"
2063,"4,298",66,90,104,"3,757"
2064,"6,232",92,238,168,"4,514"
2065,"21,082",466,575,503,"16,348"
2066,"20,273",308,590,649,"16,119"
2067,"16,593",250,528,474,"10,971"
2068,"10,699",125,288,337,"8,966"
2069,"9,231",104,242,275,"7,821"
2070,"8,899",94,256,282,"7,472"
2071,"8,873",112,243,271,"7,427"
2072,"5,130",41,145,157,"4,134"
2073,"10,559",97,293,325,"9,130"
2074,"14,428",125,385,767,"12,438"
2075,"13,471",136,347,674,"11,600"
2076,"15,335",169,483,726,"12,823"
2077,"22,931",273,"1,102","1,007","15,479"
2079,"4,583",44,183,215,"3,517"
2080,"1,083",21,40,58,817
2081,"3,394",38,123,153,"2,691"
2082,"3,313",30,91,188,"2,599"
2083,"1,005",18,39,58,672
2084,"2,426",30,67,102,"2,032"
2085,"7,207",76,175,565,"5,948"
2086,"8,313",86,234,448,"6,677"
2087,"7,770",72,240,396,"6,329"
2088,"19,753",417,450,528,"16,499"
2089,"8,908",251,266,263,"6,783"
2090,"9,342",195,194,272,"7,487"
2092,"4,572",71,121,138,"3,863"
2093,"14,769",201,422,514,"11,529"
2094,"4,260",108,103,148,"3,306"
2095,"12,312",404,260,272,"8,432"
2096,"10,021",222,273,262,"7,430"
2097,"10,270",97,282,466,"7,679"
2099,"25,910",341,"1,000","1,134","16,423"
2100,"13,699",150,466,640,"9,948"
2101,"12,553",144,396,742,"9,145"
2102,"4,663",66,123,211,"3,475"
2103,"7,321",71,224,448,"5,627"
2104,"2,407",32,61,159,"2,045"
2105,"1,381",30,37,49,"1,066"
2106,"6,619",78,200,287,"5,135"
2107,"10,122",127,294,484,"7,894"
2108,"1,297",24,41,32,"1,045"
2110,"6,050",71,154,195,"5,245"
2111,"9,073",136,338,309,"6,891"
2112,"19,461",243,837,765,"13,236"
2113,"12,505",174,522,527,"8,706"
2114,"15,169",170,718,490,"9,713"
2115,"5,846",72,347,236,"3,495"
2116,"3,564",37,229,126,"2,108"
2117,"11,858",113,691,470,"7,713"
2118,"14,516",135,728,673,"10,173"
2119,"7,489",67,223,295,"6,354"
2120,"12,854",113,464,566,"10,240"
