postcode,electorate,2016_score,2015_score,2014_score,2013_score,2012_score,2011_score
800,Solomon,4,6.5,6.5,6.5,6.3,6.3
810,Solomon,4,6.5,6.5,6.5,6.3,6.3
812,Solomon,4,6.5,6.5,6.5,6.3,6.3
820,Solomon,4,6.5,6.5,6.5,6.3,6.3
822,Lingiari,4,4,4,4,4.2,4.2
822,Solomon,4,6.5,6.5,6.5,6.3,6.3
828,Solomon,4,6.5,6.5,6.5,6.3,6.3
830,Solomon,4,6.5,6.5,6.5,6.3,6.3
832,Solomon,4,6.5,6.5,6.5,6.3,6.3
835,Lingiari,4,4,4,4,4.2,4.2
836,Lingiari,4,4,4,4,4.2,4.2
837,Lingiari,4,4,4,4,4.2,4.2
838,Lingiari,4,4,4,4,4.2,4.2
840,Lingiari,4,4,4,4,4.2,4.2
841,Lingiari,4,4,4,4,4.2,4.2
845,Lingiari,4,4,4,4,4.2,4.2
846,Lingiari,4,4,4,4,4.2,4.2
847,Lingiari,4,4,4,4,4.2,4.2
850,Lingiari,4,4,4,4,4.2,4.2
852,Lingiari,4,4,4,4,4.2,4.2
853,Lingiari,4,4,4,4,4.2,4.2
854,Lingiari,4,4,4,4,4.2,4.2
860,Lingiari,4,4,4,4,4.2,4.2
862,Lingiari,4,4,4,4,4.2,4.2
870,Lingiari,4,4,4,4,4.2,4.2
872,Grey,6.3,6.5,6.5,6.5,6.3,6.3
872,Lingiari,4,4,4,4,4.2,4.2
880,Lingiari,4,4,4,4,4.2,4.2
885,Lingiari,4,4,4,4,4.2,4.2
886,Lingiari,4,4,4,4,4.2,4.2
2000,Sydney,4,4,4,4,4.2,4.2
2006,Sydney,4,4,4,4,4.2,4.2
2007,Sydney,4,4,4,4,4.2,4.2
2008,Sydney,4,4,4,4,4.2,4.2
2009,Sydney,4,4,4,4,4.2,4.2
2010,Sydney,4,4,4,4,4.2,4.2
2011,Sydney,4,4,4,4,4.2,4.2
2015,Sydney,4,4,4,4,4.2,4.2
2016,Sydney,4,4,4,4,4.2,4.2
2017,Sydney,4,4,4,4,4.2,4.2
2018,Kingsford Smith,4,4,4,4,4.2,4.2
2018,Sydney,4,4,4,4,4.2,4.2
2019,Kingsford Smith,4,4,4,4,4.2,4.2
2020,Kingsford Smith,4,4,4,4,4.2,4.2
2021,Sydney,4,4,4,4,4.2,4.2
2021,Wentworth,6.3,6.5,6.5,6.5,6.3,6.3
2022,Wentworth,6.3,6.5,6.5,6.5,6.3,6.3
2023,Wentworth,6.3,6.5,6.5,6.5,6.3,6.3
2024,Wentworth,6.3,6.5,6.5,6.5,6.3,6.3
2025,Wentworth,6.3,6.5,6.5,6.5,6.3,6.3
2026,Wentworth,6.3,6.5,6.5,6.5,6.3,6.3
2027,Wentworth,6.3,6.5,6.5,6.5,6.3,6.3
2028,Wentworth,6.3,6.5,6.5,6.5,6.3,6.3
2029,Wentworth,6.3,6.5,6.5,6.5,6.3,6.3
2030,Wentworth,6.3,6.5,6.5,6.5,6.3,6.3
2031,Kingsford Smith,4,4,4,4,4.2,4.2
2031,Wentworth,6.3,6.5,6.5,6.5,6.3,6.3
2032,Kingsford Smith,4,4,4,4,4.2,4.2
2033,Kingsford Smith,4,4,4,4,4.2,4.2
2034,Kingsford Smith,4,4,4,4,4.2,4.2
2035,Kingsford Smith,4,4,4,4,4.2,4.2
2036,Kingsford Smith,4,4,4,4,4.2,4.2
2037,Sydney,4,4,4,4,4.2,4.2
2038,Grayndler,4,4,4,4,4.2,4.2
2038,Sydney,4,4,4,4,4.2,4.2
2039,Sydney,4,4,4,4,4.2,4.2
2040,Grayndler,4,4,4,4,4.2,4.2
2041,Sydney,4,4,4,4,4.2,4.2
2042,Grayndler,4,4,4,4,4.2,4.2
2042,Sydney,4,4,4,4,4.2,4.2
2043,Sydney,4,4,4,4,4.2,4.2
2044,Grayndler,4,4,4,4,4.2,4.2
2045,Lowe,0,0,0,0,0,0
2046,Lowe,0,0,0,0,0,0
2047,Lowe,0,0,0,0,0,0
2048,Grayndler,4,4,4,4,4.2,4.2
2049,Grayndler,4,4,4,4,4.2,4.2
2050,Grayndler,4,4,4,4,4.2,4.2
2050,Sydney,4,4,4,4,4.2,4.2
2060,North Sydney,6.3,6.5,6.5,6.5,6.3,6.3
2061,North Sydney,6.3,6.5,6.5,6.5,6.3,6.3
2062,North Sydney,6.3,6.5,6.5,6.5,6.3,6.3
2063,North Sydney,6.3,6.5,6.5,6.5,6.3,6.3
2064,North Sydney,6.3,6.5,6.5,6.5,6.3,6.3
2065,North Sydney,6.3,6.5,6.5,6.5,6.3,6.3
2066,Bradfield,6.3,6.5,6.5,6.5,6.3,6.3
2066,North Sydney,6.3,6.5,6.5,6.5,6.3,6.3
2067,Bradfield,6.3,6.5,6.5,6.5,6.3,6.3
2068,Bradfield,6.3,6.5,6.5,6.5,6.3,6.3
2068,North Sydney,6.3,6.5,6.5,6.5,6.3,6.3
2069,Bradfield,6.3,6.5,6.5,6.5,6.3,6.3
2070,Bradfield,6.3,6.5,6.5,6.5,6.3,6.3
2071,Bradfield,6.3,6.5,6.5,6.5,6.3,6.3
2072,Bradfield,6.3,6.5,6.5,6.5,6.3,6.3
2073,Bradfield,6.3,6.5,6.5,6.5,6.3,6.3
2074,Bradfield,6.3,6.5,6.5,6.5,6.3,6.3
2075,Bradfield,6.3,6.5,6.5,6.5,6.3,6.3
2076,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2076,Bradfield,6.3,6.5,6.5,6.5,6.3,6.3
2077,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2079,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2080,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2081,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2082,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2083,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2083,Robertson,6.3,6.5,6.5,6.5,4.2,4.2
2084,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2085,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2086,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2086,Warringah,6.3,6.5,6.5,6.5,6.3,6.3
2087,Warringah,6.3,6.5,6.5,6.5,6.3,6.3
2088,Warringah,6.3,6.5,6.5,6.5,6.3,6.3
2089,North Sydney,6.3,6.5,6.5,6.5,6.3,6.3
2090,North Sydney,6.3,6.5,6.5,6.5,6.3,6.3
2092,Warringah,6.3,6.5,6.5,6.5,6.3,6.3
2093,Warringah,6.3,6.5,6.5,6.5,6.3,6.3
2094,Warringah,6.3,6.5,6.5,6.5,6.3,6.3
2095,Warringah,6.3,6.5,6.5,6.5,6.3,6.3
2096,Warringah,6.3,6.5,6.5,6.5,6.3,6.3
2097,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2099,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2099,Warringah,6.3,6.5,6.5,6.5,6.3,6.3
2100,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2100,Warringah,6.3,6.5,6.5,6.5,6.3,6.3
2101,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2102,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2103,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2104,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2105,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2106,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2107,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2108,Mackellar,6.3,6.5,6.5,6.5,6.3,6.3
2109,Bennelong,6.3,6.5,6.5,6.5,6.3,6.3
2110,North Sydney,6.3,6.5,6.5,6.5,6.3,6.3
2111,Bennelong,6.3,6.5,6.5,6.5,6.3,6.3
2111,North Sydney,6.3,6.5,6.5,6.5,6.3,6.3
2112,Bennelong,6.3,6.5,6.5,6.5,6.3,6.3
2113,Bennelong,6.3,6.5,6.5,6.5,6.3,6.3
2114,Bennelong,6.3,6.5,6.5,6.5,6.3,6.3
2115,Parramatta,4,4,4,4,4.2,4.2
2116,Parramatta,4,4,4,4,4.2,4.2
2117,Parramatta,4,4,4,4,4.2,4.2
2118,Bennelong,6.3,6.5,6.5,6.5,6.3,6.3
2118,Mitchell,6.3,6.5,6.5,6.5,6.3,6.3
2118,Parramatta,4,4,4,4,4.2,4.2
2119,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2120,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2121,Bennelong,6.3,6.5,6.5,6.5,6.3,6.3
2122,Bennelong,6.3,6.5,6.5,6.5,6.3,6.3
2123,Parramatta,4,4,4,4,4.2,4.2
2125,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2125,Mitchell,6.3,6.5,6.5,6.5,6.3,6.3
2126,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2127,Reid,6.3,6.5,6.5,6.5,4.2,4.2
2128,Reid,6.3,6.5,6.5,6.5,4.2,4.2
2129,Lowe,0,0,0,0,0,0
2130,Grayndler,4,4,4,4,4.2,4.2
2131,Grayndler,4,4,4,4,4.2,4.2
2131,Lowe,0,0,0,0,0,0
2132,Lowe,0,0,0,0,0,0
2133,Grayndler,4,4,4,4,4.2,4.2
2133,Lowe,0,0,0,0,0,0
2133,Watson,4,4,4,4,4.2,4.2
2134,Lowe,0,0,0,0,0,0
2135,Lowe,0,0,0,0,0,0
2136,Blaxland,4,4,4,4,4.2,4.2
2136,Lowe,0,0,0,0,0,0
2137,Lowe,0,0,0,0,0,0
2138,Lowe,0,0,0,0,0,0
2139,Lowe,0,0,0,0,0,0
2140,Lowe,0,0,0,0,0,0
2140,Reid,6.3,6.5,6.5,6.5,4.2,4.2
2141,Reid,6.3,6.5,6.5,6.5,4.2,4.2
2142,Parramatta,4,4,4,4,4.2,4.2
2142,Reid,6.3,6.5,6.5,6.5,4.2,4.2
2143,Blaxland,4,4,4,4,4.2,4.2
2143,Reid,6.3,6.5,6.5,6.5,4.2,4.2
2144,Reid,6.3,6.5,6.5,6.5,4.2,4.2
2145,Parramatta,4,4,4,4,4.2,4.2
2145,Prospect,0,0,0,0,0,0
2145,Reid,6.3,6.5,6.5,6.5,4.2,4.2
2146,Greenway,4,4,4,4,4.2,4.2
2146,Parramatta,4,4,4,4,4.2,4.2
2147,Greenway,4,4,4,4,4.2,4.2
2148,Chifley,4,4,4,4,4.2,4.2
2148,Greenway,4,4,4,4,4.2,4.2
2148,Prospect,0,0,0,0,0,0
2150,Parramatta,4,4,4,4,4.2,4.2
2151,Mitchell,6.3,6.5,6.5,6.5,6.3,6.3
2151,Parramatta,4,4,4,4,4.2,4.2
2152,Mitchell,6.3,6.5,6.5,6.5,6.3,6.3
2152,Parramatta,4,4,4,4,4.2,4.2
2153,Mitchell,6.3,6.5,6.5,6.5,6.3,6.3
2153,Parramatta,4,4,4,4,4.2,4.2
2154,Mitchell,6.3,6.5,6.5,6.5,6.3,6.3
2155,Greenway,4,4,4,4,4.2,4.2
2155,Mitchell,6.3,6.5,6.5,6.5,6.3,6.3
2156,Mitchell,6.3,6.5,6.5,6.5,6.3,6.3
2157,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2158,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2158,Mitchell,6.3,6.5,6.5,6.5,6.3,6.3
2159,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2160,Reid,6.3,6.5,6.5,6.5,4.2,4.2
2161,Blaxland,4,4,4,4,4.2,4.2
2161,Reid,6.3,6.5,6.5,6.5,4.2,4.2
2162,Blaxland,4,4,4,4,4.2,4.2
2162,Reid,6.3,6.5,6.5,6.5,4.2,4.2
2163,Blaxland,4,4,4,4,4.2,4.2
2163,Fowler,4,4,4,4,4.2,4.2
2164,Prospect,0,0,0,0,0,0
