Postcode,Electoral division,Per cent
800,Solomon,100
810,Solomon,100
812,Solomon,100
820,Solomon,100
822,Lingiari,96.1
822,Solomon,3.9
828,Solomon,100
830,Solomon,100
832,Solomon,100
835,Lingiari,100
836,Lingiari,100
837,Lingiari,100
838,Lingiari,100
840,Lingiari,100
841,Lingiari,100
845,Lingiari,100
846,Lingiari,100
847,Lingiari,100
850,Lingiari,100
852,Lingiari,100
853,Lingiari,100
854,Lingiari,100
860,Lingiari,100
862,Lingiari,100
870,Lingiari,100
872,Grey,11.4
872,Lingiari,88.6
880,Lingiari,100
885,Lingiari,100
886,Lingiari,100
2000,Sydney,100
2006,Sydney,100
2007,Sydney,100
2008,Sydney,100
2009,Sydney,100
2010,Sydney,100
2011,Sydney,100
2015,Sydney,100
2016,Sydney,100
2017,Sydney,100
2018,Kingsford Smith,69.5
2018,Sydney,30.5
2019,Kingsford Smith,100
2020,Kingsford Smith,100
2021,Sydney,34.4
2021,Wentworth,65.6
2022,Wentworth,100
2023,Wentworth,100
2024,Wentworth,100
2025,Wentworth,100
2026,Wentworth,100
2027,Wentworth,100
2028,Wentworth,100
2029,Wentworth,100
2030,Wentworth,100
2031,Kingsford Smith,42.4
2031,Wentworth,57.6
2032,Kingsford Smith,100
2033,Kingsford Smith,100
2034,Kingsford Smith,100
2035,Kingsford Smith,100
2036,Kingsford Smith,100
2037,Sydney,100
2038,Grayndler,73.6
2038,Sydney,26.4
2039,Sydney,100
2040,Grayndler,100
2041,Sydney,100
2042,Grayndler,58
2042,Sydney,42
2043,Sydney,100
2044,Grayndler,100
2045,Lowe,100
2046,Lowe,100
2047,Lowe,100
2048,Grayndler,100
2049,Grayndler,100
2050,Grayndler,65.3
2050,Sydney,34.7
2060,North Sydney,100
2061,North Sydney,100
2062,North Sydney,100
2063,North Sydney,100
2064,North Sydney,100
2065,North Sydney,100
2066,Bradfield,7.8
2066,North Sydney,92.2
2067,Bradfield,100
2068,Bradfield,15.1
2068,North Sydney,84.9
2069,Bradfield,100
2070,Bradfield,100
2071,Bradfield,100
2072,Bradfield,100
2073,Bradfield,100
2074,Bradfield,100
2075,Bradfield,100
2076,Berowra,40
2076,Bradfield,60
2077,Berowra,100
2079,Berowra,100
2080,Berowra,100
2081,Berowra,100
2082,Berowra,100
2083,Berowra,60.9
2083,Robertson,39.1
2084,Mackellar,100
2085,Mackellar,100
2086,Mackellar,84.6
2086,Warringah,15.4
2087,Warringah,100
2088,Warringah,100
2089,North Sydney,100
2090,North Sydney,100
2092,Warringah,100
2093,Warringah,100
2094,Warringah,100
2095,Warringah,100
2096,Warringah,100
2097,Mackellar,100
2099,Mackellar,59.8
2099,Warringah,40.2
2100,Mackellar,22.6
2100,Warringah,77.4
2101,Mackellar,100
2102,Mackellar,100
2103,Mackellar,100
2104,Mackellar,100
2105,Mackellar,100
2106,Mackellar,100
2107,Mackellar,100
2108,Mackellar,100
2109,Bennelong,100
2110,North Sydney,100
2111,Bennelong,76.8
2111,North Sydney,23.2
2112,Bennelong,100
2113,Bennelong,100
2114,Bennelong,100
2115,Parramatta,100
2116,Parramatta,100
2117,Parramatta,100
2118,Bennelong,25.8
2118,Mitchell,15
2118,Parramatta,59.2
2119,Berowra,100
2120,Berowra,100
2121,Bennelong,100
2122,Bennelong,100
2123,Parramatta,100
2125,Berowra,20.3
2125,Mitchell,79.7
2126,Berowra,100
2127,Reid,100
2128,Reid,100
2129,Lowe,100
2130,Grayndler,100
2131,Grayndler,68.1
2131,Lowe,31.9
2132,Lowe,100
2133,Grayndler,10.2
2133,Lowe,42.2
2133,Watson,47.6
2134,Lowe,100
2135,Lowe,100
2136,Blaxland,47.2
2136,Lowe,52.8
2137,Lowe,100
2138,Lowe,100
2139,Lowe,100
2140,Lowe,93.3
2140,Reid,6.7
2141,Reid,100
2142,Parramatta,19.2
2142,Reid,80.8
2143,Blaxland,44.2
2143,Reid,55.8
2144,Reid,100
2145,Parramatta,59.1
2145,Prospect,32.8
2145,Reid,8.1
2146,Greenway,27.4
2146,Parramatta,72.6
2147,Greenway,100
2148,Chifley,18
2148,Greenway,80.4
2148,Prospect,1.5
2150,Parramatta,100
2151,Mitchell,39.6
2151,Parramatta,60.4
2152,Mitchell,45.6
2152,Parramatta,54.4
2153,Mitchell,77.6
2153,Parramatta,22.4
2154,Mitchell,100
2155,Greenway,8
2155,Mitchell,92
2156,Mitchell,100
2157,Berowra,100
2158,Berowra,74.4
2158,Mitchell,25.6
2159,Berowra,100
2160,Reid,100
2161,Blaxland,1.9
2161,Reid,98.1
2162,Blaxland,95.8
2162,Reid,4.2
2163,Blaxland,41.4
2163,Fowler,58.6
2164,Prospect,93.9
2164,Reid,6.1
2165,Fowler,7.1
2165,Prospect,92.9
2166,Fowler,96.1
2166,Prospect,3.9
2167,Werriwa,100
2168,Fowler,39.2
2168,Werriwa,60.8
2170,Fowler,41.8
2170,Hughes,23.6
2170,Werriwa,34.6
2171,Hughes,4.4
2171,Macarthur,29.3
2171,Prospect,1.8
2171,Werriwa,64.5
2173,Hughes,97.6
2173,Macarthur,2.4
2174,Werriwa,100
2176,Fowler,28.9
2176,Prospect,71.1
2177,Fowler,100
2190,Blaxland,100
2191,Blaxland,22.9
2191,Watson,77.1
2192,Watson,100
2193,Grayndler,74.8
2193,Watson,25.2
2194,Watson,100
2195,Blaxland,15.6
2195,Watson,84.4
2196,Banks,30.3
2196,Blaxland,51
2196,Watson,18.7
2197,Blaxland,100
2198,Blaxland,100
2199,Blaxland,100
2200,Blaxland,100
2203,Grayndler,100
2204,Grayndler,100
2205,Barton,100
2206,Watson,100
2207,Barton,59.3
2207,Watson,40.7
2208,Watson,100
2209,Banks,69.9
2209,Watson,30.1
2210,Banks,100
2211,Banks,100
2212,Banks,100
2213,Banks,100
2214,Banks,100
2216,Barton,100
2217,Barton,100
2218,Barton,93.2
2218,Watson,6.8
2219,Barton,100
2220,Barton,31.8
2220,Watson,68.2
2221,Barton,100
2222,Banks,70.5
2222,Barton,29.5
2223,Banks,72.7
2223,Barton,27.3
2224,Cook,100
2225,Hughes,100
2226,Hughes,100
2227,Cook,100
2228,Cook,100
2229,Cook,100
2230,Cook,100
2231,Cook,100
2232,Cook,50.2
2232,Hughes,49.8
2233,Hughes,100
2234,Hughes,100
2250,Dobell,36.9
2250,Robertson,63.1
2251,Robertson,100
2256,Robertson,100
2257,Robertson,100
2258,Dobell,100
2259,Charlton,6.1
2259,Dobell,64.5
2259,Shortland,29.3
2260,Dobell,55.8
2260,Robertson,44.2
2261,Dobell,100
2262,Dobell,26.2
2262,Shortland,73.8
2263,Dobell,13.6
2263,Shortland,86.4
2264,Charlton,100
2265,Charlton,100
2267,Charlton,100
2278,Charlton,100
2280,Shortland,100
2281,Shortland,100
2282,Charlton,55.9
2282,Shortland,44.1
2283,Charlton,100
2284,Charlton,100
2285,Charlton,100
2286,Charlton,100
2287,Charlton,45.8
2287,Newcastle,54.2
2289,Charlton,11.3
2289,Newcastle,85.2
2289,Shortland,3.5
2290,Charlton,17.2
2290,Newcastle,3.2
2290,Shortland,79.6
2291,Newcastle,100
2292,Newcastle,100
2293,Newcastle,100
2294,Newcastle,100
2295,Newcastle,90
2295,Paterson,10
2296,Newcastle,100
2297,Newcastle,100
2298,Newcastle,100
2299,Newcastle,100
2300,Newcastle,100
2302,Newcastle,100
2303,Newcastle,100
2304,Newcastle,100
2305,Charlton,13.1
2305,Newcastle,86.9
2306,Shortland,100
2307,Newcastle,100
2308,Newcastle,100
2311,Paterson,100
2312,Lyne,27.6
2312,Paterson,72.4
2314,Paterson,100
2315,Paterson,100
2316,Paterson,100
2317,Paterson,100
2318,Paterson,100
2319,Paterson,100
2320,Hunter,100
2321,Hunter,25.9
2321,Paterson,74.1
2322,Hunter,2
2322,Newcastle,3.7
2322,Paterson,94.3
2323,Hunter,94.9
2323,Paterson,5.1
2324,Paterson,100
2325,Hunter,100
2326,Hunter,100
2327,Hunter,100
2328,Hunter,100
2329,Gwydir,100
2330,Hunter,100
2331,Hunter,100
2333,Hunter,100
2334,Hunter,100
2335,Hunter,100
2336,Gwydir,100
2337,Gwydir,100
2338,Gwydir,100
2339,Gwydir,100
2340,Gwydir,1.1
2340,New England,98.9
2341,New England,100
2342,New England,100
2343,Gwydir,100
2344,New England,100
2345,New England,100
2346,New England,100
2347,New England,100
2350,New England,100
2351,New England,100
2352,New England,100
2353,New England,100
2354,New England,100
2355,New England,100
2356,Gwydir,100
2357,Gwydir,100
2358,New England,100
2359,New England,100
2360,New England,100
2361,New England,100
2365,New England,100
2369,New England,100
2370,New England,100
2371,New England,100
2372,New England,100
2379,Gwydir,100
2380,Gwydir,100
2381,Gwydir,100
2382,Gwydir,100
2386,Gwydir,100
2387,Gwydir,100
2388,Gwydir,100
2390,Gwydir,98.8
2390,New England,1.2
2395,Gwydir,100
2396,Gwydir,100
2397,Gwydir,100
2398,Gwydir,100
2399,Gwydir,100
2400,Gwydir,100
2401,Gwydir,100
2402,Gwydir,100
2403,New England,100
2404,New England,100
2405,Gwydir,100
2406,Gwydir,79.6
2406,Maranoa,20.4
2408,Gwydir,100
2409,Gwydir,100
2410,New England,100
2411,Gwydir,100
2415,Paterson,100
2420,Paterson,100
2421,Paterson,100
2422,Paterson,100
2423,Paterson,100
2424,Lyne,100
2425,Paterson,100
2426,Lyne,100
2427,Lyne,100
2428,Paterson,100
2429,Lyne,100
2430,Lyne,97.8
2430,Paterson,2.2
2431,Cowper,100
2439,Lyne,100
2440,Cowper,29.1
2440,Lyne,70.9
2441,Cowper,43.9
2441,Lyne,56.1
2443,Lyne,100
2444,Lyne,100
2445,Lyne,100
2446,Lyne,100
2447,Cowper,100
2448,Cowper,100
2449,Cowper,100
2450,Cowper,99.3
2450,Page,0.7
2452,Cowper,100
2453,Cowper,90.6
2453,Page,9.4
2454,Cowper,100
2455,Cowper,100
2456,Cowper,100
2460,Cowper,11.6
2460,Page,88.4
2462,Cowper,100
2463,Cowper,84.9
2463,Page,15.1
2464,Cowper,100
2465,Page,100
2466,Page,100
2469,New England,18
2469,Page,82
2470,Page,100
2471,Page,100
2472,Page,100
2473,Page,100
2474,Page,100
2475,New England,100
2476,New England,37.4
2476,Page,62.6
2477,Page,19.3
2477,Richmond,80.7
2478,Page,68.6
2478,Richmond,31.4
2479,Richmond,100
2480,Page,97.2
2480,Richmond,2.8
2481,Richmond,100
2482,Richmond,100
2483,Richmond,100
2484,Richmond,100
2485,Richmond,100
2486,Richmond,100
2487,Richmond,100
2488,Richmond,100
2489,Richmond,100
2490,Richmond,100
2500,Cunningham,100
2502,Throsby,100
2505,Throsby,100
2506,Throsby,100
2508,Cunningham,100
2515,Cunningham,100
2516,Cunningham,100
2517,Cunningham,100
2518,Cunningham,100
2519,Cunningham,100
2525,Cunningham,100
2526,Cunningham,29.8
2526,Throsby,70.2
2527,Throsby,100
2528,Throsby,100
2529,Throsby,100
2530,Throsby,100
2533,Gilmore,100
2534,Gilmore,100
2535,Gilmore,100
2536,Eden-Monaro,100
2537,Eden-Monaro,100
2538,Gilmore,100
2539,Gilmore,100
2540,Fraser,1.8
2540,Gilmore,98.2
2541,Gilmore,100
2545,Eden-Monaro,100
2546,Eden-Monaro,100
2548,Eden-Monaro,100
2549,Eden-Monaro,100
2550,Eden-Monaro,100
2551,Eden-Monaro,100
2558,Macarthur,100
2559,Macarthur,100
2560,Hume,3.2
2560,Macarthur,92.3
2560,Werriwa,4.5
2563,Macarthur,100
2564,Werriwa,100
2565,Werriwa,100
2566,Werriwa,100
2567,Macarthur,100
2568,Hume,100
2569,Hume,100
2570,Hume,33.7
2570,Macarthur,66.3
2571,Hume,100
2572,Hume,100
2573,Hume,100
2574,Hume,100
2575,Hume,100
2576,Hume,100
2577,Gilmore,85.5
2577,Hume,14.5
2578,Gilmore,100
2579,Gilmore,46.7
2579,Hume,53.3
2580,Hume,100
2581,Hume,100
2582,Hume,100
2583,Calare,9.1
2583,Hume,90.9
2584,Hume,100
2585,Hume,100
2586,Hume,100
2587,Hume,100
2588,Riverina,100
2590,Riverina,100
2594,Hume,100
2600,Canberra,47.3
2600,Fraser,52.7
2601,Fraser,100
2602,Fraser,100
2603,Canberra,56.9
2603,Fraser,43.1
2604,Fraser,100
2605,Canberra,100
2606,Canberra,100
2607,Canberra,100
2609,Canberra,75.8
2609,Fraser,24.2
2611,Canberra,100
2612,Fraser,100
2614,Fraser,100
2615,Fraser,100
2617,Fraser,100
2618,Eden-Monaro,64.9
2618,Fraser,35.1
2619,Eden-Monaro,100
2620,Canberra,2.1
2620,Eden-Monaro,95.1
2620,Fraser,0.7
2620,Hume,2.1
2621,Eden-Monaro,100
2622,Eden-Monaro,100
2623,Eden-Monaro,100
2624,Eden-Monaro,100
2625,Eden-Monaro,100
2626,Eden-Monaro,100
2627,Eden-Monaro,100
2628,Eden-Monaro,100
2630,Eden-Monaro,98.5
2630,Farrer,1.5
2631,Eden-Monaro,100
2632,Eden-Monaro,100
2633,Eden-Monaro,100
2640,Farrer,100
2641,Farrer,100
2642,Farrer,100
2643,Farrer,100
2644,Farrer,100
2645,Farrer,100
2646,Farrer,100
2647,Farrer,100
2648,Farrer,100
2649,Farrer,100
2650,Riverina,100
2651,Riverina,100
2652,Farrer,11.6
2652,Riverina,88.4
2653,Farrer,100
2655,Farrer,100
2656,Farrer,100
2658,Farrer,100
2659,Farrer,100
2660,Farrer,100
2661,Riverina,100
2663,Riverina,100
2665,Parkes,20.4
2665,Riverina,79.6
2666,Riverina,100
2668,Parkes,100
2669,Parkes,89.8
2669,Riverina,10.2
2671,Parkes,100
2672,Parkes,100
2675,Parkes,100
2680,Riverina,100
2681,Riverina,100
2700,Farrer,1.9
2700,Riverina,98.1
2701,Riverina,100
2702,Riverina,100
2703,Riverina,100
2705,Riverina,100
2706,Riverina,100
2707,Riverina,100
2710,Farrer,100
2711,Farrer,3.3
2711,Riverina,96.7
2712,Farrer,100
2713,Farrer,100
2714,Farrer,100
2715,Farrer,100
2716,Farrer,100
2717,Farrer,100
2720,Farrer,100
2721,Parkes,100
2722,Riverina,100
2725,Riverina,100
2726,Hume,100
2727,Riverina,100
2729,Farrer,90.2
2729,Riverina,9.8
2730,Farrer,100
2731,Farrer,100
2732,Farrer,100
2733,Farrer,100
2734,Farrer,100
2735,Farrer,100
2736,Farrer,100
2737,Farrer,100
2738,Farrer,100
2739,Farrer,100
2745,Hume,1.6
2745,Lindsay,91.7
2745,Macarthur,6.7
2747,Lindsay,100
2748,Lindsay,100
2749,Lindsay,100
2750,Lindsay,100
2752,Hume,100
2753,Lindsay,22.6
2753,Macquarie,77.4
2754,Macquarie,100
2755,Macquarie,100
2756,Berowra,5.9
2756,Macquarie,94.1
2757,Macquarie,100
2758,Macquarie,100
2759,Lindsay,1.2
2759,Prospect,98.8
2760,Chifley,100
2761,Chifley,87.2
2761,Greenway,12.8
2762,Greenway,100
2763,Greenway,100
2764,Greenway,100
2765,Chifley,3.2
2765,Greenway,47
2765,Lindsay,8
2765,Macquarie,27.7
2765,Mitchell,14.1
2766,Chifley,100
2767,Chifley,100
2768,Greenway,100
2770,Chifley,100
2773,Lindsay,100
2774,Lindsay,12.1
2774,Macquarie,87.9
2775,Berowra,21.6
2775,Macquarie,55.4
2775,Robertson,23
2776,Macquarie,100
2777,Macquarie,100
2778,Macquarie,100
2779,Macquarie,100
2780,Macquarie,100
2782,Macquarie,100
2783,Macquarie,100
2784,Macquarie,100
2785,Macquarie,100
2786,Macquarie,100
2787,Calare,93.7
2787,Hume,6.3
2790,Calare,100
2791,Calare,100
2792,Calare,100
2793,Calare,100
2794,Calare,98.4
2794,Hume,1.6
2795,Calare,99.5
2795,Gwydir,0.5
2797,Calare,100
2798,Calare,100
2799,Calare,100
2800,Calare,100
2803,Hume,100
2804,Calare,100
2805,Calare,100
2806,Calare,89.1
2806,Parkes,10.9
2807,Hume,100
2808,Calare,63.5
2808,Hume,36.5
2809,Parkes,100
2810,Hume,6.4
2810,Parkes,93.6
2820,Gwydir,100
2821,Parkes,100
2823,Parkes,100
2824,Gwydir,16.1
2824,Parkes,83.9
2825,Parkes,100
2827,Gwydir,100
2828,Gwydir,100
2829,Gwydir,100
2830,Gwydir,3.6
2830,Parkes,96.4
2831,Gwydir,54.3
2831,Parkes,45.7
2832,Gwydir,100
2833,Gwydir,100
2834,Gwydir,100
2835,Parkes,100
2836,Parkes,100
2839,Gwydir,100
2840,Gwydir,98.4
2840,Parkes,1.6
2842,Gwydir,100
2843,Gwydir,100
2844,Gwydir,100
